日付,歩数,摂取カロリー
2017-04-01,5439,2500
2017-04-02,2510,2300
2017-04-03,10238,1950
2017-04-04,8209,1850
2017-04-05,9434,1930
2017-04-06,7593,1800
2017-04-07,9320,1940
2017-04-08,4873,2300
2017-04-09,12045,1950
2017-04-10,7493,1850
2017-04-11,7289,1930
2017-04-12,6481,2300
2017-04-13,10287,1800
2017-04-14,8043,1940
2017-04-15,7435,2300
2017-04-16,7529,2300
2017-04-17,8031,1940
2017-04-18,8475,2300
2017-04-19,8132,1950
2017-04-20,15328,1800
2017-04-21,12849,1940
2017-04-22,4029,2300
2017-04-23,3890,1950
2017-04-24,8093,1850
2017-04-25,7823,1950
2017-04-26,7492,1850
2017-04-27,7203,1930
2017-04-28,7302,1850
2017-04-29,6033,2300
2017-04-30,4093,1950
